bar,beat,time_s,frame
66,3,111.489,2677
66,4,111.915,2687
67,1,112.34,2697
67,2,112.766,2707
67,3,113.191,2718
67,4,113.617,2728
68,1,114.043,2738
68,2,114.468,2748
68,3,114.894,2758
68,4,115.319,2769
69,1,115.745,2779
69,2,116.17,2789
69,3,116.596,2799
69,4,117.021,2810
70,1,117.447,2820
70,2,117.872,2830
70,3,118.298,2840
70,4,118.723,2850
71,1,119.149,2861
71,2,119.574,2871
71,3,120.0,2881
71,4,120.426,2891
72,1,120.851,2901
72,2,121.277,2912
72,3,121.702,2922
72,4,122.128,2932
73,1,122.553,2942
73,2,122.979,2952
73,3,123.404,2963
73,4,123.83,2973
74,1,124.255,2983
74,2,124.681,2993
74,3,125.106,3004
74,4,125.532,3014
75,1,125.957,3024
75,2,126.383,3034
75,3,126.809,3044
75,4,127.234,3055
76,1,127.66,3065
76,2,128.085,3075
76,3,128.511,3085
76,4,128.936,3095
77,1,129.362,3106
77,2,129.787,3116
77,3,130.213,3126
77,4,130.638,3136
78,1,131.064,3147
78,2,131.489,3157
78,3,131.915,3167
78,4,132.34,3177
79,1,132.766,3187
79,2,133.191,3198
79,3,133.617,3208
79,4,134.043,3218
80,1,134.468,3228
80,2,134.894,3238
80,3,135.319,3249
80,4,135.745,3259
81,1,136.17,3269
81,2,136.596,3279
81,3,137.021,3290
81,4,137.447,3300
82,1,137.872,3310
82,2,138.298,3320
82,3,138.723,3330
82,4,139.149,3341
83,1,139.574,3351
83,2,140.0,3361
83,3,140.426,3371
83,4,140.851,3381
84,1,141.277,3392
84,2,141.702,3402
84,3,142.128,3412
84,4,142.553,3422
85,1,142.979,3432
85,2,143.404,3443
85,3,143.83,3453
85,4,144.255,3463
86,1,144.681,3473
86,2,145.106,3484
86,3,145.532,3494
86,4,145.957,3504
87,1,146.383,3514
87,2,146.809,3524
87,3,147.234,3535
87,4,147.66,3545
88,1,148.085,3555
88,2,148.511,3565
88,3,148.936,3575
88,4,149.362,3586
89,1,149.787,3596
89,2,150.213,3606
89,3,150.638,3616
89,4,151.064,3627
90,1,151.489,3637
90,2,151.915,3647
90,3,152.34,3657
90,4,152.766,3667
91,1,153.191,3678
91,2,153.617,3688
91,3,154.043,3698
91,4,154.468,3708
92,1,154.894,3718
92,2,155.319,3729
92,3,155.745,3739
92,4,156.17,3749
93,1,156.596,3759
93,2,157.021,3770
93,3,157.447,3780
93,4,157.872,3790
94,1,158.298,3800
94,2,158.723,3810
94,3,159.149,3821
94,4,159.574,3831
95,1,160.0,3841
95,2,160.426,3851
95,3,160.851,3861
95,4,161.277,3872
96,1,161.702,3882
96,2,162.128,3892
96,3,162.553,3902
96,4,162.979,3912
97,1,163.404,3923
97,2,163.83,3933
97,3,164.255,3943
97,4,164.681,3953
98,1,165.106,3964
98,2,165.532,3974
98,3,165.957,3984
98,4,166.383,3994
99,1,166.809,4004
99,2,167.234,4015
99,3,167.66,4025
99,4,168.085,4035
100,1,168.511,4045
100,2,168.936,4055
100,3,169.362,4066
100,4,169.787,4076
101,1,170.213,4086
101,2,170.638,4096
101,3,171.064,4107
101,4,171.489,4117
102,1,171.915,4127
102,2,172.34,4137
102,3,172.766,4147
102,4,173.191,4158
103,1,173.617,4168
103,2,174.043,4178
103,3,174.468,4188
103,4,174.894,4198
104,1,175.319,4209
104,2,175.745,4219
104,3,176.17,4229
104,4,176.596,4239
105,1,177.021,4250
105,2,177.447,4260
105,3,177.872,4270
105,4,178.298,4280
106,1,178.723,4290
106,2,179.149,4301
106,3,179.574,4311
106,4,180.0,4321
107,1,180.426,4331
107,2,180.851,4341
107,3,181.277,4352
107,4,181.702,4362
108,1,182.128,4372
108,2,182.553,4382
108,3,182.979,4392
108,4,183.404,4403
109,1,183.83,4413
109,2,184.255,4423
109,3,184.681,4433
109,4,185.106,4444
110,1,185.532,4454
110,2,185.957,4464
110,3,186.383,4474
110,4,186.809,4484
111,1,187.234,4495
111,2,187.66,4505
111,3,188.085,4515
111,4,188.511,4525
112,1,188.936,4535
112,2,189.362,4546
112,3,189.787,4556
112,4,190.213,4566
113,1,190.638,4576
113,2,191.064,4587
113,3,191.489,4597
113,4,191.915,4607
114,1,192.34,4617
114,2,192.766,4627
114,3,193.191,4638
114,4,193.617,4648
115,1,194.043,4658
115,2,194.468,4668
115,3,194.894,4678
115,4,195.319,4689
116,1,195.745,4699
116,2,196.17,4709
116,3,196.596,4719
116,4,197.021,4730
117,1,197.447,4740
117,2,197.872,4750
117,3,198.298,4760
117,4,198.723,4770
118,1,199.149,4781
118,2,199.574,4791
118,3,200.0,4801
118,4,200.426,4811
119,1,200.851,4821
119,2,201.277,4832
119,3,201.702,4842
119,4,202.128,4852
120,1,202.553,4862
120,2,202.979,4872
120,3,203.404,4883
120,4,203.83,4893
121,1,204.255,4903
121,2,204.681,4913
121,3,205.106,4924
121,4,205.532,4934
122,1,205.957,4944
122,2,206.383,4954
122,3,206.809,4964
122,4,207.234,4975
123,1,207.66,4985
123,2,208.085,4995
123,3,208.511,5005
123,4,208.936,5015
124,1,209.362,5026
124,2,209.787,5036
124,3,210.213,5046
124,4,210.638,5056
125,1,211.064,5067
125,2,211.489,5077
125,3,211.915,5087
125,4,212.34,5097
126,1,212.766,5107
126,2,213.191,5118
126,3,213.617,5128
126,4,214.043,5138
127,1,214.468,5148
127,2,214.894,5158
127,3,215.319,5169
127,4,215.745,5179
128,1,216.17,5189
128,2,216.596,5199
128,3,217.021,5210
128,4,217.447,5220
129,1,217.872,5230
129,2,218.298,5240
129,3,218.723,5250
129,4,219.149,5261
130,1,219.574,5271
130,2,220.0,5281
130,3,220.426,5291
130,4,220.851,5301
131,1,221.277,5312
131,2,221.702,5322
131,3,222.128,5332
131,4,222.553,5342
132,1,222.979,5352
132,2,223.404,5363
132,3,223.83,5373
132,4,224.255,5383
133,1,224.681,5393
133,2,225.106,5404
133,3,225.532,5414
133,4,225.957,5424
134,1,226.383,5434
134,2,226.809,5444
134,3,227.234,5455
134,4,227.66,5465
135,1,228.085,5475
135,2,228.511,5485
135,3,228.936,5495
135,4,229.362,5506
136,1,229.787,5516
136,2,230.213,5526
136,3,230.638,5536
136,4,231.064,5547
137,1,231.489,5557
137,2,231.915,5567
137,3,232.34,5577
137,4,232.766,5587
